"","Day","Month","Year","DOY","Plot","Subplot","Code","Percent.Cover","binomial","lifeform","family","genus","species"
"129",8,6,2018,159,30,"NW","SoEl",5,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"130",8,6,2018,159,30,"NW","LaCo",28,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"131",8,6,2018,159,30,"NW","LITT",96,"litter","LITT","litter","litter",NA
"132",8,6,2018,159,31,"NE","LaCo",1,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"133",8,6,2018,159,31,"NE","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"134",8,6,2018,159,31,"NE","BoGr",3,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"135",8,6,2018,159,31,"NE","ChIn",4,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"136",8,6,2018,159,31,"NE","BARE",10,"bareground","BARE","bareground","bareground",NA
"137",8,6,2018,159,31,"NE","LITT",78,"litter","LITT","litter","litter",NA
"138",8,6,2018,159,32,"SE","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"139",8,6,2018,159,32,"SE","PoMu",1,"Portulaca mundula","Forb","Portulacaceaea","Portulaca","mundula"
"140",8,6,2018,159,32,"SE","SoEl",1,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"141",8,6,2018,159,32,"SE","BARE",20,"bareground","BARE","bareground","bareground",NA
"142",8,6,2018,159,32,"SE","BoGr",35,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"143",8,6,2018,159,32,"SE","LITT",80,"litter","LITT","litter","litter",NA
"144",8,6,2018,159,33,"NE","LaCo",2,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"145",8,6,2018,159,33,"NE","ChIn",3,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"146",8,6,2018,159,33,"NE","BoGr",22,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"147",8,6,2018,159,33,"NE","LITT",100,"litter","LITT","litter","litter",NA
"148",8,6,2018,159,34,"NW","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"149",8,6,2018,159,34,"NW","BARE",2,"bareground","BARE","bareground","bareground",NA
"150",8,6,2018,159,34,"NW","SoEl",5,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"151",8,6,2018,159,34,"NW","BoGr",20,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"152",8,6,2018,159,34,"NW","LITT",95,"litter","LITT","litter","litter",NA
"153",8,6,2018,159,35,"SW","SoEl",1,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"154",8,6,2018,159,35,"SW","BARE",20,"bareground","BARE","bareground","bareground",NA
"155",8,6,2018,159,35,"SW","BoGr",45,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"156",8,6,2018,159,35,"SW","LITT",50,"litter","LITT","litter","litter",NA
"157",8,6,2018,159,36,"SW","BARE",2,"bareground","BARE","bareground","bareground",NA
"158",8,6,2018,159,36,"SW","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"159",8,6,2018,159,36,"SW","BoGr",50,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"160",8,6,2018,159,36,"SW","LITT",98,"litter","LITT","litter","litter",NA
"161",8,6,2018,159,37,"SW","BARE",1,"bareground","BARE","bareground","bareground",NA
"162",8,6,2018,159,37,"SW","ChIn",3,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"163",8,6,2018,159,37,"SW","SoEl",12,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"164",8,6,2018,159,37,"SW","BoGr",34,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"165",8,6,2018,159,37,"SW","LITT",99,"litter","LITT","litter","litter",NA
"166",8,6,2018,159,38,"NW","BoGr",5,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"167",8,6,2018,159,38,"NW","ChIn",5,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"168",8,6,2018,159,38,"NW","SoEl",5,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"169",8,6,2018,159,38,"NW","BARE",7,"bareground","BARE","bareground","bareground",NA
"170",8,6,2018,159,38,"NW","LITT",83,"litter","LITT","litter","litter",NA
"171",8,6,2018,159,39,"NE","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"172",8,6,2018,159,39,"NE","BARE",2,"bareground","BARE","bareground","bareground",NA
"173",8,6,2018,159,39,"NE","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"174",8,6,2018,159,39,"NE","BoGr",31,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"175",8,6,2018,159,39,"NE","LITT",98,"litter","LITT","litter","litter",NA
"176",8,6,2018,159,40,"SE","PrGl",2,"Prosopis glandulosa","Shrub/tree","Fabaceae","Prosopis","glandulosa"
"177",8,6,2018,159,40,"SE","SoEl",3,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"178",8,6,2018,159,40,"SE","ChIn",4,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"179",8,6,2018,159,40,"SE","BARE",7,"bareground","BARE","bareground","bareground",NA
"180",8,6,2018,159,40,"SE","BoGr",15,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"181",8,6,2018,159,40,"SE","LITT",82,"litter","LITT","litter","litter",NA
"182",8,6,2018,159,41,"SE","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"183",8,6,2018,159,41,"SE","BARE",5,"bareground","BARE","bareground","bareground",NA
"184",8,6,2018,159,41,"SE","RaCo",6,"Ratibida columnifera","Forb","Asteraceae","Ratibida","columnifera"
"185",8,6,2018,159,41,"SE","LaCo",7,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"186",8,6,2018,159,41,"SE","ChIn",10,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"187",8,6,2018,159,41,"SE","LITT",95,"litter","LITT","litter","litter",NA
"188",8,6,2018,159,42,"SE","BARE",2,"bareground","BARE","bareground","bareground",NA
"189",8,6,2018,159,42,"SE","SoEl",4,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"190",8,6,2018,159,42,"SE","BoGr",62,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"191",8,6,2018,159,42,"SE","LITT",95,"litter","LITT","litter","litter",NA
"192",22,9,2018,265,1,"NE","SoEl",3,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"193",22,9,2018,265,1,"NE","LITT",10,"litter","LITT","litter","litter",NA
"194",22,9,2018,265,1,"NE","BARE",12,"bareground","BARE","bareground","bareground",NA
"195",22,9,2018,265,1,"NE","BoGr",70,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"196",22,9,2018,265,2,"NE","PaOb",2,"Panicum obtusum","Grass","Poaceae","Panicum","obtusum"
"197",22,9,2018,265,2,"NE","BoGr",15,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"198",22,9,2018,265,2,"NE","LITT",20,"litter","LITT","litter","litter",NA
"199",22,9,2018,265,2,"NE","BARE",30,"bareground","BARE","bareground","bareground",NA
"200",22,9,2018,265,2,"NE","SoEl",45,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"201",22,9,2018,265,3,"NW","PrGl",1,"Prosopis glandulosa","Shrub/tree","Fabaceae","Prosopis","glandulosa"
"202",22,9,2018,265,3,"NW","SoEl",10,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"203",22,9,2018,265,3,"NW","LITT",15,"litter","LITT","litter","litter",NA
"204",22,9,2018,265,3,"NW","BARE",22,"bareground","BARE","bareground","bareground",NA
"205",22,9,2018,265,3,"NW","BoGr",75,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"206",22,9,2018,265,4,"NW","SoEl",10,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"207",22,9,2018,265,4,"NW","BARE",20,"bareground","BARE","bareground","bareground",NA
"208",22,9,2018,265,4,"NW","LITT",45,"litter","LITT","litter","litter",NA
"209",22,9,2018,265,4,"NW","BoGr",60,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"210",22,9,2018,265,5,"NW","BARE",10,"bareground","BARE","bareground","bareground",NA
"211",22,9,2018,265,5,"NW","BoGr",15,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"212",22,9,2018,265,5,"NW","SoEl",25,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"213",22,9,2018,265,5,"NW","LITT",27,"litter","LITT","litter","litter",NA
"214",22,9,2018,265,6,"SE","LaCo",12,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"215",22,9,2018,265,6,"SE","SoEl",23,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"216",22,9,2018,265,6,"SE","LITT",77,"litter","LITT","litter","litter",NA
"217",22,9,2018,265,7,"NE","BARE",5,"bareground","BARE","bareground","bareground",NA
"218",22,9,2018,265,7,"NE","SoEl",25,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"219",22,9,2018,265,7,"NE","LITT",80,"litter","LITT","litter","litter",NA
"220",22,9,2018,265,8,"NW","SoEl",10,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"221",22,9,2018,265,8,"NW","LITT",17,"litter","LITT","litter","litter",NA
"222",22,9,2018,265,8,"NW","BoGr",80,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"223",22,9,2018,265,9,"SW","LITT",6,"litter","LITT","litter","litter",NA
"224",22,9,2018,265,9,"SW","SoEl",8,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"225",22,9,2018,265,9,"SW","BARE",17,"bareground","BARE","bareground","bareground",NA
"226",22,9,2018,265,9,"SW","BoGr",26,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"227",22,9,2018,265,10,"SW","SoEl",12,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"228",22,9,2018,265,10,"SW","BARE",20,"bareground","BARE","bareground","bareground",NA
"229",22,9,2018,265,10,"SW","BoGr",20,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"230",22,9,2018,265,10,"SW","LITT",67,"litter","LITT","litter","litter",NA
"231",22,9,2018,265,11,"NE","AmPS",1,"Ambrosia psilostachya","Forb","Asteraceae","Ambrosia","psilostachya"
"232",22,9,2018,265,11,"NE","BARE",4,"bareground","BARE","bareground","bareground",NA
"233",22,9,2018,265,11,"NE","SoEl",7,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"234",22,9,2018,265,11,"NE","BoGr",27,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"235",22,9,2018,265,11,"NE","LITT",55,"litter","LITT","litter","litter",NA
"236",22,9,2018,265,12,"SW","ChLa",2,"Chamaesyce lata","Forb","Euphorbiaceae","Chamaesyce","lata"
"237",22,9,2018,265,12,"SW","SaTr",2,"Salsola tragus","Forb","Chenopodiaceae","Salsola","tragus"
"238",22,9,2018,265,12,"SW","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"239",22,9,2018,265,12,"SW","ArHu",6,"Argythamnia humilis","Forb","Euphorbiaceae","Argythamnia","humilis"
"240",22,9,2018,265,12,"SW","BARE",6,"bareground","BARE","bareground","bareground",NA
"241",22,9,2018,265,12,"SW","BoGr",32,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"242",22,9,2018,265,12,"SW","LITT",52,"litter","LITT","litter","litter",NA
"243",22,9,2018,265,13,"NW","SoEl",4,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"244",22,9,2018,265,13,"NW","BoGr",70,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"245",22,9,2018,265,13,"NW","LITT",80,"litter","LITT","litter","litter",NA
"246",22,9,2018,265,14,"NE","BARE",5,"bareground","BARE","bareground","bareground",NA
"247",22,9,2018,265,14,"NE","SoEl",5,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"248",22,9,2018,265,14,"NE","ArHu",6,"Argythamnia humilis","Forb","Euphorbiaceae","Argythamnia","humilis"
"249",22,9,2018,265,14,"NE","BoGr",50,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"250",22,9,2018,265,14,"NE","LITT",70,"litter","LITT","litter","litter",NA
"251",22,9,2018,265,15,"NW","BARE",3,"bareground","BARE","bareground","bareground",NA
"252",22,9,2018,265,15,"NW","LITT",50,"litter","LITT","litter","litter",NA
"253",22,9,2018,265,15,"NW","BoGr",85,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"254",22,9,2018,265,16,"SW","BARE",3,"bareground","BARE","bareground","bareground",NA
"255",22,9,2018,265,16,"SW","LITT",50,"litter","LITT","litter","litter",NA
"256",22,9,2018,265,16,"SW","BoGr",45,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"257",22,9,2018,265,17,"NW","LITT",1,"litter","LITT","litter","litter",NA
